index   dl_delay_ms   time_diff_ms    duration_ms   total_ms      packet_size  sync_rtt_ms
--------------------------------------------------------------------------------
1       14.62         -49.12          0.11          14.73         10000       13.25     
2       14.56         -49.18          0.10          14.66         10000       13.25     
3       18.08         -45.66          0.06          18.14         10000       13.25     
4       12.75         -49.27          4.25          17.01         10000       9.46      
5       17.38         -44.64          0.05          17.44         10000       9.46      
6       11.70         -50.31          0.09          11.79         10000       9.46      
7       12.17         -49.78          0.15          12.32         10000       10.07     
8       11.88         -50.07          0.39          12.27         10000       10.07     
9       11.69         -50.26          0.09          11.78         10000       10.07     
10      10.68         -51.45          4.26          14.94         10000       9.98      
11      13.36         -48.77          4.81          18.17         10000       9.98      
12      11.20         -50.92          5.90          17.10         10000       9.98      
13      13.82         -47.14          0.24          14.06         10000       12.33     
14      10.37         -50.59          4.02          14.40         10000       12.33     
15      9.74          -51.22          5.69          15.43         10000       12.33     
16      22.32         -39.72          0.24          22.56         10000       9.77      
17      12.26         -49.78          0.09          12.36         10000       9.77      
18      13.10         -48.95          0.11          13.21         10000       9.77      
19      11.67         -50.45          3.72          15.38         10000       9.91      
20      11.60         -50.53          6.98          18.57         10000       9.91      
21      11.24         -50.88          4.56          15.80         10000       9.91      
22      11.62         -50.67          0.13          11.75         10000       9.96      
23      11.94         -50.36          0.20          12.14         10000       9.96      
24      11.80         -50.50          10.08         21.88         10000       9.96      
25      12.63         -49.27          0.12          12.75         10000       9.52      
26      11.37         -50.53          0.07          11.44         10000       9.52      
27      10.61         -51.29          5.24          15.85         10000       9.52      
28      12.17         -50.38          0.11          12.28         10000       10.56     
29      13.66         -48.89          0.09          13.75         10000       10.56     
30      12.07         -50.48          0.05          12.12         10000       10.56     
31      12.22         -50.16          0.10          12.32         10000       10.21     
32      12.35         -50.03          0.10          12.45         10000       10.21     
33      11.13         -51.25          8.32          19.45         10000       10.21     
34      11.45         -50.84          0.06          11.51         10000       9.94      
35      11.29         -51.00          4.62          15.91         10000       9.94      
36      11.78         -50.51          0.11          11.89         10000       9.94      
